turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,24.4750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
1998-S2,1,24.6250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
1999-S1,2,24.7750,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
1999-S2,3,24.9250,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2000-S1,4,25.0625,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2000-S2,5,25.1875,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2001-S1,6,25.3125,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2001-S2,7,25.4375,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2002-S1,8,25.7500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2002-S2,9,26.2500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2003-S1,10,26.7500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
2003-S2,11,27.2500,energy_climate.co2_gt_year,,0.8,https://ourworldindata.org/co2-emissions,Annual GtCO2 from OWID/Global Carbon Project; semestral via linear interpolation. Approximate from public summaries.
